# Dataset: National Business Survivability Scores by City (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Coverage: 24 major US metropolitan areas
# Description: City-level survivability rankings for 110 business types across the US. Scores predict the projected chance a business type lasts 2+ years.
# Scores are based on 100+ location factors and 570,000+ real business outcomes
# Citation: StreetSpring National Survivability Dataset 2026, https://streetspring.com/resources/data/national-survivability-scores-2026.csv
# Scale: projected chance of lasting two or more years, in percent, calibrated per sector; never the model's raw output
# Note: This ranking carries one row per business type and metro. Its score is the projected chance of lasting two or more years, averaged across the price points StreetSpring scores separately in the tool (most types have 5). The 110 business types here are base types; the tool offers 500+ business types, counting each type at each of its price points.
# Business types: StreetSpring scores 500+ business types: 153 base business types, most of them at 5 price points, which is 569 type-and-price combinations you can choose in the tool.
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-13
# Version: 2026.09.13 (changelog: https://streetspring.com/resources/data/CHANGELOG.md)
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (24 metros).; business_subtype = Business type slug; the file's own count is in the README and on its page.; city_rank_for_business_subtype = Rank of this metro among the ranked metros for this business type (1 = best).; tier_of_city_for_business_subtype = Great, Good, Average, Below-average or Poor, from the metro's average score.; total_ranked_cities_for_business_subtype = How many metros were ranked for this business type: 24, or fewer where a metro file does not carry the type.; avg_survivability_score_for_business_subtype_in_city = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this metro. Use it to answer 'which city is best for X'.; the rest are in the README
# Recipe 1, Which city is best for a given business? Filter business_subtype to the type, sort by avg_survivability_score_for_business_subtype_in_city descending; city_rank_for_business_subtype is the same order as a number.
# Recipe 2, How wide is the gap between the best and worst city? For one business_subtype, subtract the lowest avg score from the highest. Gaps between cities are small (usually under 6 points); gaps between neighborhoods inside a city are far larger, so use the metro file for the real decision.
# Recipe 3, Where inside the best city should I look? Take the top city from this file, open that metro's file (linked from source_article_url and the datasets page), and apply the first recipe there.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/national-survivability-scores-2026
city,business_subtype,city_rank_for_business_subtype,tier_of_city_for_business_subtype,total_ranked_cities_for_business_subtype,avg_survivability_score_for_business_subtype_in_city,max_survivability_score_for_business_subtype_in_city,min_survivability_score_for_business_subtype_in_city,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,year,source_url_city_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,data_source
san-antonio,acupuncture-clinic,3,Great,24,83.5,90.0,74.7,90.0,88.7,76.0,74.3,2026,/resources/guides/national/city-survivability/acupuncture-clinic,/resources/guides/national/neighborhood-survivability/acupuncture-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/acupuncture-clinic,10.0,25.3,StreetSpring Survivability Dataset 2026
tampa-bay,acupuncture-clinic,5,Great,24,83.0,89.6,74.7,90.0,88.3,76.0,74.3,2026,/resources/guides/national/city-survivability/acupuncture-clinic,/resources/guides/national/neighborhood-survivability/acupuncture-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/acupuncture-clinic,10.4,25.3,StreetSpring Survivability Dataset 2026
charlotte,acupuncture-clinic,4,Great,24,83.0,90.0,70.9,90.0,88.7,72.2,70.5,2026,/resources/guides/national/city-survivability/acupuncture-clinic,/resources/guides/national/neighborhood-survivability/acupuncture-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/acupuncture-clinic,10.0,29.1,StreetSpring Survivability Dataset 2026
phoenix,acupuncture-clinic,6,Great,24,82.9,90.0,76.0,90.0,88.7,77.2,75.5,2026,/resources/guides/national/city-survivability/acupuncture-clinic,/resources/guides/national/neighborhood-survivability/acupuncture-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/acupuncture-clinic,10.0,24.0,StreetSpring Survivability Dataset 2026
houston,acupuncture-clinic,7,Great,24,82.8,90.0,71.7,90.0,88.7,73.0,71.3,2026,/resources/guides/national/city-survivability/acupuncture-clinic,/resources/guides/national/neighborhood-survivability/acupuncture-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/acupuncture-clinic,10.0,28.3,StreetSpring Survivability Dataset 2026
portland,acupuncture-clinic,8,Great,24,82.8,90.0,76.4,90.0,88.7,77.7,76.0,2026,/resources/guides/national/city-survivability/acupuncture-clinic,/resources/guides/national/neighborhood-survivability/acupuncture-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/acupuncture-clinic,10.0,23.6,StreetSpring Survivability Dataset 2026
new-york-city,acupuncture-clinic,10,Great,24,82.7,90.0,72.6,90.0,89.2,73.8,72.2,2026,/resources/guides/national/city-survivability/acupuncture-clinic,/resources/guides/national/neighborhood-survivability/acupuncture-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/acupuncture-clinic,10.0,27.4,StreetSpring Survivability Dataset 2026
baltimore,acupuncture-clinic,9,Great,24,82.7,89.6,72.2,90.0,88.3,73.4,71.7,2026,/resources/guides/national/city-survivability/acupuncture-clinic,/resources/guides/national/neighborhood-survivability/acupuncture-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/acupuncture-clinic,10.4,27.8,StreetSpring Survivability Dataset 2026
los-angeles,acupuncture-clinic,11,Great,24,82.6,90.0,74.3,90.0,89.2,75.5,73.8,2026,/resources/guides/national/city-survivability/acupuncture-clinic,/resources/guides/national/neighborhood-survivability/acupuncture-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/acupuncture-clinic,10.0,25.7,StreetSpring Survivability Dataset 2026
boston,acupuncture-clinic,12,Great,24,82.4,90.0,70.5,90.0,88.7,71.7,70.0,2026,/resources/guides/national/city-survivability/acupuncture-clinic,/resources/guides/national/neighborhood-survivability/acupuncture-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/acupuncture-clinic,10.0,29.5,StreetSpring Survivability Dataset 2026
orlando,acupuncture-clinic,13,Great,24,82.2,88.7,74.7,89.2,87.5,76.0,74.3,2026,/resources/guides/national/city-survivability/acupuncture-clinic,/resources/guides/national/neighborhood-survivability/acupuncture-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/acupuncture-clinic,11.3,25.3,StreetSpring Survivability Dataset 2026
washington-dc,acupuncture-clinic,15,Great,24,82.2,90.0,75.5,90.0,89.6,76.8,75.1,2026,/resources/guides/national/city-survivability/acupuncture-clinic,/resources/guides/national/neighborhood-survivability/acupuncture-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/acupuncture-clinic,10.0,24.5,StreetSpring Survivability Dataset 2026
st-louis,acupuncture-clinic,14,Great,24,82.2,90.0,71.7,90.0,89.2,73.0,71.3,2026,/resources/guides/national/city-survivability/acupuncture-clinic,/resources/guides/national/neighborhood-survivability/acupuncture-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/acupuncture-clinic,10.0,28.3,StreetSpring Survivability Dataset 2026
detroit,acupuncture-clinic,16,Great,24,82.1,89.6,70.5,90.0,88.3,71.7,70.0,2026,/resources/guides/national/city-survivability/acupuncture-clinic,/resources/guides/national/neighborhood-survivability/acupuncture-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/acupuncture-clinic,10.4,29.5,StreetSpring Survivability Dataset 2026
philadelphia,acupuncture-clinic,18,Great,24,82.1,89.6,73.0,90.0,88.3,74.3,72.6,2026,/resources/guides/national/city-survivability/acupuncture-clinic,/resources/guides/national/neighborhood-survivability/acupuncture-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/acupuncture-clinic,10.4,27.0,StreetSpring Survivability Dataset 2026
minneapolis,acupuncture-clinic,17,Great,24,82.1,88.3,72.2,88.7,87.0,73.4,71.7,2026,/resources/guides/national/city-survivability/acupuncture-clinic,/resources/guides/national/neighborhood-survivability/acupuncture-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/acupuncture-clinic,11.7,27.8,StreetSpring Survivability Dataset 2026
dallas,acupuncture-clinic,19,Great,24,81.9,87.5,76.8,87.9,86.2,78.1,76.4,2026,/resources/guides/national/city-survivability/acupuncture-clinic,/resources/guides/national/neighborhood-survivability/acupuncture-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/acupuncture-clinic,12.5,23.2,StreetSpring Survivability Dataset 2026
denver,acupuncture-clinic,20,Great,24,81.8,87.9,75.1,88.3,86.6,76.4,74.7,2026,/resources/guides/national/city-survivability/acupuncture-clinic,/resources/guides/national/neighborhood-survivability/acupuncture-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/acupuncture-clinic,12.1,24.9,StreetSpring Survivability Dataset 2026
san-diego,acupuncture-clinic,21,Great,24,81.5,89.6,71.7,90.0,88.3,73.0,71.3,2026,/resources/guides/national/city-survivability/acupuncture-clinic,/resources/guides/national/neighborhood-survivability/acupuncture-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/acupuncture-clinic,10.4,28.3,StreetSpring Survivability Dataset 2026
san-francisco,acupuncture-clinic,22,Great,24,81.1,87.0,73.8,87.5,85.8,75.1,73.4,2026,/resources/guides/national/city-survivability/acupuncture-clinic,/resources/guides/national/neighborhood-survivability/acupuncture-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/acupuncture-clinic,13.0,26.2,StreetSpring Survivability Dataset 2026
atlanta,acupuncture-clinic,23,Great,24,81.0,88.3,71.7,88.7,87.0,73.0,71.3,2026,/resources/guides/national/city-survivability/acupuncture-clinic,/resources/guides/national/neighborhood-survivability/acupuncture-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/acupuncture-clinic,11.7,28.3,StreetSpring Survivability Dataset 2026
seattle,acupuncture-clinic,24,Great,24,80.1,90.0,71.3,90.0,88.7,72.6,70.9,2026,/resources/guides/national/city-survivability/acupuncture-clinic,/resources/guides/national/neighborhood-survivability/acupuncture-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/acupuncture-clinic,10.0,28.7,StreetSpring Survivability Dataset 2026
chicago,eastern-european-restaurant,1,Great,24,81.8,84.0,71.0,84.0,84.0,72.3,70.5,2026,/resources/guides/national/city-survivability/eastern-european-restaurant,/resources/guides/national/neighborhood-survivability/eastern-european-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/eastern-european-restaurant,16.0,29.0,StreetSpring Survivability Dataset 2026
st-louis,eastern-european-restaurant,2,Good,24,79.7,84.0,70.0,84.0,84.0,71.4,69.6,2026,/resources/guides/national/city-survivability/eastern-european-restaurant,/resources/guides/national/neighborhood-survivability/eastern-european-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/eastern-european-restaurant,16.0,30.0,StreetSpring Survivability Dataset 2026
dallas,eastern-european-restaurant,3,Good,24,79.5,82.2,75.5,82.7,80.8,76.8,75.0,2026,/resources/guides/national/city-survivability/eastern-european-restaurant,/resources/guides/national/neighborhood-survivability/eastern-european-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/eastern-european-restaurant,17.8,24.5,StreetSpring Survivability Dataset 2026
phoenix,eastern-european-restaurant,4,Good,24,78.6,84.0,71.8,84.0,84.0,73.2,71.4,2026,/resources/guides/national/city-survivability/eastern-european-restaurant,/resources/guides/national/neighborhood-survivability/eastern-european-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/eastern-european-restaurant,16.0,28.2,StreetSpring Survivability Dataset 2026
houston,eastern-european-restaurant,6,Good,24,78.5,84.0,67.3,84.0,84.0,68.7,66.9,2026,/resources/guides/national/city-survivability/eastern-european-restaurant,/resources/guides/national/neighborhood-survivability/eastern-european-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/eastern-european-restaurant,16.0,32.7,StreetSpring Survivability Dataset 2026
san-antonio,eastern-european-restaurant,7,Good,24,78.5,84.0,71.4,84.0,84.0,72.8,71.0,2026,/resources/guides/national/city-survivability/eastern-european-restaurant,/resources/guides/national/neighborhood-survivability/eastern-european-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/eastern-european-restaurant,16.0,28.6,StreetSpring Survivability Dataset 2026
charlotte,eastern-european-restaurant,5,Good,24,78.5,84.0,69.6,84.0,84.0,71.0,69.2,2026,/resources/guides/national/city-survivability/eastern-european-restaurant,/resources/guides/national/neighborhood-survivability/eastern-european-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/eastern-european-restaurant,16.0,30.4,StreetSpring Survivability Dataset 2026
tampa-bay,eastern-european-restaurant,8,Good,24,78.3,84.0,72.3,84.0,84.0,73.7,71.8,2026,/resources/guides/national/city-survivability/eastern-european-restaurant,/resources/guides/national/neighborhood-survivability/eastern-european-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/eastern-european-restaurant,16.0,27.7,StreetSpring Survivability Dataset 2026
miami,eastern-european-restaurant,9,Good,24,78.2,84.0,71.4,84.0,84.0,72.8,71.0,2026,/resources/guides/national/city-survivability/eastern-european-restaurant,/resources/guides/national/neighborhood-survivability/eastern-european-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/eastern-european-restaurant,16.0,28.6,StreetSpring Survivability Dataset 2026
portland,eastern-european-restaurant,10,Good,24,78.0,84.0,71.4,84.0,84.0,72.8,71.0,2026,/resources/guides/national/city-survivability/eastern-european-restaurant,/resources/guides/national/neighborhood-survivability/eastern-european-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/eastern-european-restaurant,16.0,28.6,StreetSpring Survivability Dataset 2026
orlando,eastern-european-restaurant,11,Good,24,77.9,84.0,71.4,84.0,83.6,72.8,71.0,2026,/resources/guides/national/city-survivability/eastern-european-restaurant,/resources/guides/national/neighborhood-survivability/eastern-european-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/eastern-european-restaurant,16.0,28.6,StreetSpring Survivability Dataset 2026
denver,eastern-european-restaurant,12,Good,24,77.8,82.7,71.8,83.1,81.3,73.2,71.4,2026,/resources/guides/national/city-survivability/eastern-european-restaurant,/resources/guides/national/neighborhood-survivability/eastern-european-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/eastern-european-restaurant,17.3,28.2,StreetSpring Survivability Dataset 2026
los-angeles,eastern-european-restaurant,14,Good,24,77.7,84.0,70.0,84.0,84.0,71.4,69.6,2026,/resources/guides/national/city-survivability/eastern-european-restaurant,/resources/guides/national/neighborhood-survivability/eastern-european-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/eastern-european-restaurant,16.0,30.0,StreetSpring Survivability Dataset 2026
detroit,eastern-european-restaurant,13,Good,24,77.7,84.0,69.6,84.0,84.0,71.0,69.2,2026,/resources/guides/national/city-survivability/eastern-european-restaurant,/resources/guides/national/neighborhood-survivability/eastern-european-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/eastern-european-restaurant,16.0,30.4,StreetSpring Survivability Dataset 2026
baltimore,eastern-european-restaurant,15,Good,24,77.6,84.0,71.0,84.0,84.0,72.3,70.5,2026,/resources/guides/national/city-survivability/eastern-european-restaurant,/resources/guides/national/neighborhood-survivability/eastern-european-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/eastern-european-restaurant,16.0,29.0,StreetSpring Survivability Dataset 2026
san-diego,eastern-european-restaurant,16,Good,24,77.5,84.0,70.0,84.0,84.0,71.4,69.6,2026,/resources/guides/national/city-survivability/eastern-european-restaurant,/resources/guides/national/neighborhood-survivability/eastern-european-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/eastern-european-restaurant,16.0,30.0,StreetSpring Survivability Dataset 2026
boston,eastern-european-restaurant,17,Good,24,77.3,84.0,69.2,84.0,84.0,70.5,68.7,2026,/resources/guides/national/city-survivability/eastern-european-restaurant,/resources/guides/national/neighborhood-survivability/eastern-european-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/eastern-european-restaurant,16.0,30.8,StreetSpring Survivability Dataset 2026
seattle,eastern-european-restaurant,18,Good,24,77.2,84.0,67.8,84.0,84.0,69.2,67.3,2026,/resources/guides/national/city-survivability/eastern-european-restaurant,/resources/guides/national/neighborhood-survivability/eastern-european-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/eastern-european-restaurant,16.0,32.2,StreetSpring Survivability Dataset 2026
san-francisco,eastern-european-restaurant,19,Good,24,77.1,84.0,70.5,84.0,84.0,71.8,70.0,2026,/resources/guides/national/city-survivability/eastern-european-restaurant,/resources/guides/national/neighborhood-survivability/eastern-european-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/eastern-european-restaurant,16.0,29.5,StreetSpring Survivability Dataset 2026
minneapolis,eastern-european-restaurant,20,Good,24,76.8,84.0,70.5,84.0,84.0,71.8,70.0,2026,/resources/guides/national/city-survivability/eastern-european-restaurant,/resources/guides/national/neighborhood-survivability/eastern-european-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/eastern-european-restaurant,16.0,29.5,StreetSpring Survivability Dataset 2026
new-york-city,eastern-european-restaurant,21,Good,24,76.6,84.0,67.3,84.0,84.0,68.7,66.9,2026,/resources/guides/national/city-survivability/eastern-european-restaurant,/resources/guides/national/neighborhood-survivability/eastern-european-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/eastern-european-restaurant,16.0,32.7,StreetSpring Survivability Dataset 2026
washington-dc,eastern-european-restaurant,23,Good,24,76.3,84.0,69.2,84.0,84.0,70.5,68.7,2026,/resources/guides/national/city-survivability/eastern-european-restaurant,/resources/guides/national/neighborhood-survivability/eastern-european-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/eastern-european-restaurant,16.0,30.8,StreetSpring Survivability Dataset 2026
philadelphia,eastern-european-restaurant,22,Good,24,76.3,84.0,68.7,84.0,84.0,70.0,68.2,2026,/resources/guides/national/city-survivability/eastern-european-restaurant,/resources/guides/national/neighborhood-survivability/eastern-european-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/eastern-european-restaurant,16.0,31.3,StreetSpring Survivability Dataset 2026
atlanta,eastern-european-restaurant,24,Good,24,76.2,84.0,70.0,84.0,82.7,71.4,69.6,2026,/resources/guides/national/city-survivability/eastern-european-restaurant,/resources/guides/national/neighborhood-survivability/eastern-european-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/eastern-european-restaurant,16.0,30.0,StreetSpring Survivability Dataset 2026
chicago,brazilian-restaurant,1,Great,24,82.0,84.0,71.0,84.0,84.0,72.3,70.5,2026,/resources/guides/national/city-survivability/brazilian-restaurant,/resources/guides/national/neighborhood-survivability/brazilian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/brazilian-restaurant,16.0,29.0,StreetSpring Survivability Dataset 2026
st-louis,brazilian-restaurant,2,Great,24,80.0,84.0,70.5,84.0,84.0,71.8,70.0,2026,/resources/guides/national/city-survivability/brazilian-restaurant,/resources/guides/national/neighborhood-survivability/brazilian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/brazilian-restaurant,16.0,29.5,StreetSpring Survivability Dataset 2026
dallas,brazilian-restaurant,3,Good,24,79.5,82.2,75.5,82.7,80.8,76.8,75.0,2026,/resources/guides/national/city-survivability/brazilian-restaurant,/resources/guides/national/neighborhood-survivability/brazilian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/brazilian-restaurant,17.8,24.5,StreetSpring Survivability Dataset 2026
san-antonio,brazilian-restaurant,7,Good,24,78.9,84.0,71.4,84.0,84.0,72.8,71.0,2026,/resources/guides/national/city-survivability/brazilian-restaurant,/resources/guides/national/neighborhood-survivability/brazilian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/brazilian-restaurant,16.0,28.6,StreetSpring Survivability Dataset 2026
houston,brazilian-restaurant,5,Good,24,78.9,84.0,68.2,84.0,84.0,69.6,67.8,2026,/resources/guides/national/city-survivability/brazilian-restaurant,/resources/guides/national/neighborhood-survivability/brazilian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/brazilian-restaurant,16.0,31.8,StreetSpring Survivability Dataset 2026
phoenix,brazilian-restaurant,6,Good,24,78.9,84.0,71.8,84.0,84.0,73.2,71.4,2026,/resources/guides/national/city-survivability/brazilian-restaurant,/resources/guides/national/neighborhood-survivability/brazilian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/brazilian-restaurant,16.0,28.2,StreetSpring Survivability Dataset 2026
charlotte,brazilian-restaurant,4,Good,24,78.9,84.0,70.0,84.0,84.0,71.4,69.6,2026,/resources/guides/national/city-survivability/brazilian-restaurant,/resources/guides/national/neighborhood-survivability/brazilian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/brazilian-restaurant,16.0,30.0,StreetSpring Survivability Dataset 2026
tampa-bay,brazilian-restaurant,9,Good,24,78.6,84.0,72.3,84.0,84.0,73.7,71.8,2026,/resources/guides/national/city-survivability/brazilian-restaurant,/resources/guides/national/neighborhood-survivability/brazilian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/brazilian-restaurant,16.0,27.7,StreetSpring Survivability Dataset 2026
miami,brazilian-restaurant,8,Good,24,78.6,84.0,70.5,84.0,84.0,71.8,70.0,2026,/resources/guides/national/city-survivability/brazilian-restaurant,/resources/guides/national/neighborhood-survivability/brazilian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/brazilian-restaurant,16.0,29.5,StreetSpring Survivability Dataset 2026
portland,brazilian-restaurant,11,Good,24,78.4,84.0,71.8,84.0,84.0,73.2,71.4,2026,/resources/guides/national/city-survivability/brazilian-restaurant,/resources/guides/national/neighborhood-survivability/brazilian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/brazilian-restaurant,16.0,28.2,StreetSpring Survivability Dataset 2026
orlando,brazilian-restaurant,10,Good,24,78.4,84.0,71.4,84.0,83.6,72.8,71.0,2026,/resources/guides/national/city-survivability/brazilian-restaurant,/resources/guides/national/neighborhood-survivability/brazilian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/brazilian-restaurant,16.0,28.6,StreetSpring Survivability Dataset 2026
denver,brazilian-restaurant,12,Good,24,78.3,83.1,72.3,83.6,81.8,73.7,71.8,2026,/resources/guides/national/city-survivability/brazilian-restaurant,/resources/guides/national/neighborhood-survivability/brazilian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/brazilian-restaurant,16.9,27.7,StreetSpring Survivability Dataset 2026
los-angeles,brazilian-restaurant,13,Good,24,78.2,84.0,71.0,84.0,84.0,72.3,70.5,2026,/resources/guides/national/city-survivability/brazilian-restaurant,/resources/guides/national/neighborhood-survivability/brazilian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/brazilian-restaurant,16.0,29.0,StreetSpring Survivability Dataset 2026
baltimore,brazilian-restaurant,14,Good,24,78.1,84.0,71.8,84.0,84.0,73.2,71.4,2026,/resources/guides/national/city-survivability/brazilian-restaurant,/resources/guides/national/neighborhood-survivability/brazilian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/brazilian-restaurant,16.0,28.2,StreetSpring Survivability Dataset 2026
detroit,brazilian-restaurant,15,Good,24,78.1,84.0,70.5,84.0,84.0,71.8,70.0,2026,/resources/guides/national/city-survivability/brazilian-restaurant,/resources/guides/national/neighborhood-survivability/brazilian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/brazilian-restaurant,16.0,29.5,StreetSpring Survivability Dataset 2026
san-diego,brazilian-restaurant,16,Good,24,77.9,84.0,71.0,84.0,84.0,72.3,70.5,2026,/resources/guides/national/city-survivability/brazilian-restaurant,/resources/guides/national/neighborhood-survivability/brazilian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/brazilian-restaurant,16.0,29.0,StreetSpring Survivability Dataset 2026
boston,brazilian-restaurant,17,Good,24,77.7,84.0,70.0,84.0,84.0,71.4,69.6,2026,/resources/guides/national/city-survivability/brazilian-restaurant,/resources/guides/national/neighborhood-survivability/brazilian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/brazilian-restaurant,16.0,30.0,StreetSpring Survivability Dataset 2026
seattle,brazilian-restaurant,18,Good,24,77.5,84.0,68.7,84.0,84.0,70.0,68.2,2026,/resources/guides/national/city-survivability/brazilian-restaurant,/resources/guides/national/neighborhood-survivability/brazilian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/brazilian-restaurant,16.0,31.3,StreetSpring Survivability Dataset 2026
washington-dc,brazilian-restaurant,19,Good,24,77.5,84.0,70.0,84.0,84.0,71.4,69.6,2026,/resources/guides/national/city-survivability/brazilian-restaurant,/resources/guides/national/neighborhood-survivability/brazilian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/brazilian-restaurant,16.0,30.0,StreetSpring Survivability Dataset 2026
san-francisco,brazilian-restaurant,20,Good,24,77.4,84.0,71.8,84.0,84.0,73.2,71.4,2026,/resources/guides/national/city-survivability/brazilian-restaurant,/resources/guides/national/neighborhood-survivability/brazilian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/brazilian-restaurant,16.0,28.2,StreetSpring Survivability Dataset 2026
new-york-city,brazilian-restaurant,22,Good,24,77.1,84.0,68.7,84.0,84.0,70.0,68.2,2026,/resources/guides/national/city-survivability/brazilian-restaurant,/resources/guides/national/neighborhood-survivability/brazilian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/brazilian-restaurant,16.0,31.3,StreetSpring Survivability Dataset 2026
minneapolis,brazilian-restaurant,21,Good,24,77.1,84.0,71.4,84.0,84.0,72.8,71.0,2026,/resources/guides/national/city-survivability/brazilian-restaurant,/resources/guides/national/neighborhood-survivability/brazilian-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/brazilian-restaurant,16.0,28.6,StreetSpring Survivability Dataset 2026
